t       	v       	Ic       	Id
 0.00614999	 0.149359	 3.1249e-07	 0.00115494
 0.00617499	 0.142688	 2.41775e-07	 0.00114778
 0.00619999	 0.131925	 1.59819e-07	 0.00113628
 0.00622499	 0.117516	 9.18212e-08	 0.00112097
 0.00624999	 0.100011	 4.68317e-08	 0.00110251
 0.00627499	 0.0800425	 2.17271e-08	 0.00108164
 0.00629999	 0.0583059	 9.41716e-09	 0.00105916
 0.00632499	 0.0355311	 3.92192e-09	 0.00103585
 0.00634999	 0.0124601	 1.61484e-09	 0.0010125
 0.00637499	-0.0101783	 6.76061e-10	 0.000989848
 0.00639999	-0.0316922	 2.95546e-10	 0.000968559
 0.00642499	-0.0514484	 1.38237e-10	 0.000949213
 0.00644999	-0.0688916	 7.06741e-11	 0.000932295
 0.00647499	-0.0835603	 4.02012e-11	 0.000918185
 0.00649999	-0.0950999	 2.57921e-11	 0.000907161
 0.00652499	-0.10327	 1.88369e-11	 0.000899396
 0.00654999	-0.107951	 1.57333e-11	 0.000894962
 0.00657499	-0.109142	 1.50292e-11	 0.000893836
 0.00659999	-0.106956	 1.63472e-11	 0.000895904
 0.00662499	-0.101616	 2.00741e-11	 0.000900965
 0.00664999	-0.0934407	 2.74916e-11	 0.000908742
 0.00667499	-0.0828287	 4.13486e-11	 0.000918887
 0.00669999	-0.0702448	 6.70898e-11	 0.000930989
 0.00672499	-0.0561998	 1.15149e-10	 0.00094459
 0.00674999	-0.0412308	 2.04784e-10	 0.000959194
 0.00677499	-0.0258814	 3.69561e-10	 0.000974286
 0.00679999	-0.0106821	 6.63087e-10	 0.000989346
 0.00682499	 0.00386827	 1.16042e-09	 0.00100387
 0.00684999	 0.0173191	 1.94667e-09	 0.00101739
 0.00687499	 0.0292824	 3.08406e-09	 0.0010295
 0.00689999	 0.0394444	 4.55896e-09	 0.00103983
 0.00692499	 0.0475742	 6.23248e-09	 0.00104814
 0.00694999	 0.053528	 7.83633e-09	 0.00105424
 0.00697499	 0.0572518	 9.043e-09	 0.00105807
 0.00699999	 0.0587782	 9.58981e-09	 0.00105964
 0.00702499	 0.0582224	 9.38696e-09	 0.00105907
 0.00704999	 0.0557728	 8.54297e-09	 0.00105655
 0.00707499	 0.0516812	 7.29901e-09	 0.00105235
 0.00709999	 0.0462491	 5.92281e-09	 0.00104678
 0.00712499	 0.0398134	 4.62412e-09	 0.00104021
 0.00714999	 0.0327311	 3.5215e-09	 0.001033
 0.00717499	 0.0253631	 2.6525e-09	 0.00102552
 0.00719999	 0.018059	 2.00286e-09	 0.00101814
 0.00722499	 0.0111425	 1.53504e-09	 0.00101117
 0.00724999	 0.00489821	 1.20731e-09	 0.0010049
 0.00727499	-0.000439428	 9.83241e-10	 0.000999561
 0.00729999	-0.00469457	 8.34802e-10	 0.000995311
 0.00732499	-0.00775602	 7.42072e-10	 0.000992259
 0.00734999	-0.00958019	 6.91793e-10	 0.000990443
 0.00737499	-0.010191	 6.7573e-10	 0.000989835
 0.00739999	-0.00967689	 6.89225e-10	 0.000990347
 0.00742499	-0.00818494	 7.29931e-10	 0.000991832
 0.00744999	-0.00591252	 7.96598e-10	 0.000994096
 0.00747499	-0.00309674	 8.87714e-10	 0.000996906
 0.00749999	-2.16303e-06	 9.99917e-10	 0.000999998
 0.00752499	 0.00309261	 1.12631e-09	 0.00100309
 0.00754999	 0.00590896	 1.25517e-09	 0.00100592
 0.00757499	 0.00818229	 1.36985e-09	 0.0010082
 0.00759999	 0.00967546	 1.45083e-09	 0.0010097
 0.00762499	 0.010191	 1.47988e-09	 0.00101022
 0.00764999	 0.00958186	 1.44561e-09	 0.0010096
 0.00767499	 0.00775939	 1.34775e-09	 0.00100777
 0.00769999	 0.00469962	 1.19812e-09	 0.00100471
 0.00772499	 0.000446065	 1.0173e-09	 0.00100045
 0.00774999	-0.00489019	 8.28545e-10	 0.000995116
 0.00777499	-0.0111334	 6.51676e-10	 0.000988898
 0.00779999	-0.0180492	 4.99474e-10	 0.000982032
 0.00782499	-0.0253531	 3.77148e-10	 0.000974808
 0.00784999	-0.0327213	 2.84076e-10	 0.000967546
 0.00787499	-0.0398044	 2.16333e-10	 0.000960592
 0.00789999	-0.0462413	 1.68889e-10	 0.000954293
 0.00792499	-0.051675	 1.37037e-10	 0.000948993
 0.00794999	-0.0557686	 1.17074e-10	 0.000945009
 0.00797499	-0.0582204	 1.06539e-10	 0.000942627
 0.00799999	-0.0587788	 1.04275e-10	 0.000942085
 0.00802499	-0.0572549	 1.10569e-10	 0.000943565
 0.00804999	-0.0535338	 1.27582e-10	 0.000947183
 0.00807499	-0.0475824	 1.60399e-10	 0.000952984
 0.00809999	-0.039455	 2.19259e-10	 0.000960934
 0.00812499	-0.029295	 3.24091e-10	 0.00097092
 0.00814999	-0.0173333	 5.13417e-10	 0.000982742
 0.00817499	-0.00388372	 8.61247e-10	 0.00099612
 0.0082	 0.010666	 1.50716e-09	 0.00101069
 0.008225	 0.0258651	 2.70422e-09	 0.00102603
 0.00825	 0.0412149	 4.88022e-09	 0.00104164
 0.008275	 0.0561849	 8.67944e-09	 0.00105697
 0.0083	 0.0702313	 1.48977e-08	 0.00107146
 0.008325	 0.0828171	 2.41739e-08	 0.00108453
 0.00835	 0.0934316	 3.63619e-08	 0.00109561
 0.008375	 0.10161	 4.98031e-08	 0.00110419
 0.0084	 0.106953	 6.11642e-08	 0.00110981
 0.008425	 0.109141	 6.65359e-08	 0.00111212
 0.00845	 0.107954	 6.35657e-08	 0.00111087
 0.008475	 0.103276	 5.30987e-08	 0.00110594
 0.0085	 0.0951083	 3.87842e-08	 0.00109737
 0.008525	 0.0835713	 2.48854e-08	 0.00108532
 0.00855	 0.0689048	 1.41566e-08	 0.00107009
 0.008575	 0.0514634	 7.23812e-09	 0.00105213
 0.0086	 0.0317084	 3.38568e-09	 0.00103196
 0.008625	 0.0101952	 1.48012e-09	 0.00101022
 0.00865	-0.012443	 6.19664e-10	 0.000987596
 0.008675	-0.0355144	 2.55141e-10	 0.000964801
 0.0087	-0.0582901	 1.06254e-10	 0.000942559
 0.008725	-0.0800281	 4.60511e-11	 0.000921573
 0.00875	-0.099998	 2.13634e-11	 0.000902502
 0.00877501	-0.117505	 1.08951e-11	 0.000885946
 0.00880001	-0.131917	 6.25899e-12	 0.000872433
 0.00882501	-0.142683	 4.13693e-12	 0.000862407
 0.00885001	-0.149356	 3.20043e-12	 0.000856221
 0.00887501	-0.151612	 2.93442e-12	 0.000854134
 0.00890001	-0.149261	 3.21214e-12	 0.000856308
 0.00892501	-0.142257	 4.20519e-12	 0.000862802
 0.00895001	-0.130704	 6.55793e-12	 0.000873567
 0.00897501	-0.114854	 1.20647e-11	 0.000888444
 0.00900001	-0.0951045	 2.57875e-11	 0.000907157
 0.00902501	-0.0719855	 6.27451e-11	 0.00092931
 0.00905001	-0.0461473	 1.69501e-10	 0.000954385
 0.00907501	-0.0183405	 4.9391e-10	 0.000981744
 0.00910001	 0.0106066	 1.50373e-09	 0.00101063
 0.00912501	 0.0398129	 4.62402e-09	 0.00104021
 0.00915001	 0.0683726	 1.38698e-08	 0.00106954
 0.00917501	 0.095384	 3.91976e-08	 0.00109766
 0.00920001	 0.119979	 1.00944e-07	 0.00112358
 0.00922501	 0.141351	 2.29651e-07	 0.00114635
 0.00925001	 0.158782	 4.48986e-07	 0.00116508
 0.00927501	 0.171668	 7.37023e-07	 0.00117904
 0.00930001	 0.17954	 9.97622e-07	 0.0011876
 0.00932501	 0.182078	 1.09994e-06	 0.00119037
 0.00935001	 0.179129	 9.8198e-07	 0.00118715
 0.00937502	 0.170707	 7.10288e-07	 0.00117799
 0.00940002	 0.157002	 4.19283e-07	 0.00116316
 0.00942502	 0.13837	 2.04776e-07	 0.00114316
 0.00945002	 0.115326	 8.44038e-08	 0.00111865
 0.00947502	 0.0885301	 3.01144e-08	 0.00109049
 0.00950002	 0.0587669	 9.58564e-09	 0.00105963
 0.00952502	 0.0269218	 2.81638e-09	 0.0010271
 0.00955002	-0.00604621	 7.92513e-10	 0.000993963
 0.00957502	-0.0391339	 2.21984e-10	 0.000961249
 0.00960002	-0.0713256	 6.4358e-11	 0.000929946
 0.00962502	-0.101626	 2.0067e-11	 0.000900956
 0.00965002	-0.129089	 6.97816e-12	 0.000875077
 0.00967502	-0.152854	 2.79762e-12	 0.000852987
 0.00970002	-0.172165	 1.3311e-12	 0.000835245
 0.00972502	-0.186405	 7.69752e-13	 0.000822281
 0.00975002	-0.195109	 5.50775e-13	 0.000814408
 0.00977502	-0.19798	 4.93186e-13	 0.000811819
 0.00980002	-0.194905	 5.55111e-13	 0.000814592
 0.00982502	-0.185952	 7.83294e-13	 0.000822692
 0.00985002	-0.171374	 1.37224e-12	 0.000835968
 0.00987502	-0.151599	 2.93596e-12	 0.000854147
 0.00990002	-0.127217	 7.49932e-12	 0.000876829
 0.00992502	-0.0989623	 2.22315e-11	 0.000903486
 0.00995003	-0.0676926	 7.40095e-11	 0.000933453
 0.00997503	-0.0343584	 2.66741e-10	 0.000965937
 0.01 	 2.40615e-05	 1.00093e-09	 0.00100002
 0.010025	 0.0344058	 3.7558e-09	 0.0010347
 0.01005	 0.0677378	 1.35353e-08	 0.00106888
 0.010075	 0.099004	 4.50533e-08	 0.00110145
 0.0101	 0.127253	 1.33534e-07	 0.0011313
 0.010125	 0.15163	 3.41009e-07	 0.00115738
 0.01015	 0.171398	 7.29409e-07	 0.00117874
 0.010175	 0.185969	 1.27747e-06	 0.00119461
 0.0102	 0.194913	 1.80202e-06	 0.00120441
 0.010225	 0.19798	 2.02764e-06	 0.00120778
 0.01025	 0.195101	 1.81506e-06	 0.00120462
 0.010275	 0.186389	 1.29832e-06	 0.00119507
 0.0103	 0.172142	 7.50579e-07	 0.00117955
 0.010325	 0.152823	 3.57032e-07	 0.00115866
 0.01035	 0.129053	 1.43107e-07	 0.00113322
 0.010375	 0.101585	 4.97555e-08	 0.00110417
 0.0104	 0.0712819	 1.5512e-08	 0.00107255
 0.010425	 0.0390882	 4.49692e-09	 0.00103947
 0.01045	 0.00599999	 1.25957e-09	 0.00100601
 0.010475	-0.0269671	 3.54447e-10	 0.000973215
 0.0105	-0.05881	 1.0415e-10	 0.000942055
 0.010525	-0.0885697	 3.31562e-11	 0.000913391
 0.01055	-0.115361	 1.18319e-11	 0.000887966
 0.010575	-0.138399	 4.87791e-12	 0.00086639
 0.0106	-0.157025	 2.38295e-12	 0.000849139
 0.010625	-0.170723	 1.40704e-12	 0.000836564
 0.01065	-0.179137	 1.01804e-12	 0.000828886
 0.010675	-0.182079	 9.09133e-13	 0.00082621
 0.0107	-0.179532	 1.00267e-12	 0.000828526
 0.010725	-0.171654	 1.35757e-12	 0.000835713
 0.01075	-0.158761	 2.22906e-12	 0.000847541
 0.010775	-0.141323	 4.35898e-12	 0.00086367
 0.0108	-0.119947	 9.91871e-12	 0.00088365
 0.010825	-0.0953479	 2.55472e-11	 0.000906925
 0.01085	-0.0683336	 7.22071e-11	 0.000932834
 0.010875	-0.0397724	 2.16599e-10	 0.000960623
 0.0109	-0.0105659	 6.66057e-10	 0.000989462
 0.010925	 0.0183802	 2.02776e-09	 0.00101846
 0.01095	 0.0461849	 5.9082e-09	 0.00104672
 0.010975	 0.0720198	 1.59585e-08	 0.00107332
 0.011	 0.0951345	 3.88232e-08	 0.0010974
 0.011025	 0.114879	 8.29658e-08	 0.00111818
 0.01105	 0.130723	 1.52599e-07	 0.001135
 0.011075	 0.14227	 2.3792e-07	 0.00114733
 0.0111	 0.149268	 3.11397e-07	 0.00115484
 0.011125	 0.151612	 3.40783e-07	 0.00115736
 0.01115	 0.14935	 3.12382e-07	 0.00115493
 0.011175	 0.142671	 2.41611e-07	 0.00114776
 0.0112	 0.1319	 1.59662e-07	 0.00113625
 0.011225	 0.117483	 9.17054e-08	 0.00112093
 0.01125	 0.0999717	 4.67618e-08	 0.00110247
 0.011275	 0.0799989	 2.16906e-08	 0.0010816
 0.0113	 0.0582589	 9.40016e-09	 0.00105911
 0.011325	 0.0354823	 3.91456e-09	 0.0010358
 0.01135	 0.012411	 1.61179e-09	 0.00101245
 0.011375	-0.0102261	 6.74819e-10	 0.0009898
 0.0114	-0.0317373	 2.95034e-10	 0.000968515
 0.011425	-0.0514894	 1.38019e-10	 0.000949173
 0.0114501	-0.0689272	 7.05772e-11	 0.000932261
 0.0114751	-0.0835897	 4.01559e-11	 0.000918157
 0.0115001	-0.0951221	 2.57701e-11	 0.00090714
 0.0115251	-0.103285	 1.88264e-11	 0.000899382
 0.0115501	-0.107958	 1.57293e-11	 0.000894956
 0.0115751	-0.109141	 1.50299e-11	 0.000893837
 0.0116001	-0.106947	 1.63528e-11	 0.000895912
 0.0116251	-0.1016	 2.00864e-11	 0.00090098
 0.0116501	-0.0934184	 2.75153e-11	 0.000908763
 0.0116751	-0.0828009	 4.13928e-11	 0.000918913
 0.0117001	-0.0702127	 6.71728e-11	 0.00093102
 0.0117251	-0.0561645	 1.15305e-10	 0.000944624
 0.0117501	-0.0411937	 2.05076e-10	 0.000959231
 0.0117751	-0.0258437	 3.70097e-10	 0.000974323
 0.0118001	-0.0106451	 6.6403e-10	 0.000989383
 0.0118251	 0.00390331	 1.16198e-09	 0.00100391
 0.0118501	 0.0173511	 1.94907e-09	 0.00101743
 0.0118751	 0.0293104	 3.08739e-09	 0.00102953
 0.0119001	 0.0394678	 4.56305e-09	 0.00103986
 0.0119251	 0.0475922	 6.23682e-09	 0.00104816
 0.0119501	 0.0535405	 7.8401e-09	 0.00105426
 0.0119751	 0.0572586	 9.04536e-09	 0.00105808
